Revisit,Number_of_attacks,Committed_defenders,Play,Flow,Successful,Shot_type,Points,Time,Opponent,Half
,1,0,Set,Halfcourt,No,Contested hook,0,10:59,UNH,1
,1,0,Base,Halfcourt,No,Turnover,0,10:30,UNH,1
,1,0,Base,Halfcourt,No,Contested layup,0,9:28,UNH,1
,0,0,Transition,Transition,No,Pull up 2,0,9:13,UNH,1
,1,1,Set,Halfcourt,Yes,Semi-contested layup,0,8:22,UNH,1
,1,0,OB,OB,,Semi-contested layup,2,7:46,UNH,1
,1,0,Transition,Transition,,Semi-contested layup,2,7:05,UNH,1
,1,0,Transition,Transition,,Foul,2,6:52,UNH,1
,1,0,Set,Halfcourt,yes,Semi-contested layup,2,6:24,UNH,1
,1,1,Transition,Transition,yes,Dunk,2,5:47,UNH,1
,0,0,OB,OB,,Contested 2,0,5:03,UNH,1
,0,0,Base,Halfcourt,,Contested 2,0,4:15,UNH,1
,0,1,Putback,Putback,,Semi-contested 3,0,4:09,UNH,1
,1,0,Set,Halfcourt,Yes,Semi-contested layup,2,3:17,UNH,1
*,0,0,Set,Halfcourt,No,Contested 2,2,2:28,UNH,1
,1,0,Transition,Transition,,Foul,0,2:05,UNH,1
,1,0,Set,Halfcourt,no,Fontested 2,0,1:24,UNH,1
,0,0,OB,OB,no,Fontested 3,0,1:22,UNH,1
,,,Base,Halfcourt,,Foul,2,:42,UNH,1
,1,0,Transition,Transition,,Semi-contested 3,3,:13,UNH,1
,0,0,Transition,Transition,,EOH 3,0,0,UNH,1

*,1,1,Set,Halfcourt,No,Semi-contested 2,2,19:25,UNH,2
,1,0,Set,Halfcourt,No,Turnover,0,18:45,UNH,2
,1,0,Base,Halfcourt,No,Turnover,0,18:07,UNH,2
,1,0,Set,Halfcourt,Yes,Semi-contested layup,2,17:34,UNH,2
,1,1,Transition,Transition,,Open 3,3,17:05,UNH,2
*,0,0,Set,Halfcourt,No,Contested 3,0,16:13,UNH,2
,1,1,Transition,Transition,,Dunk,2,16:00,UNH,2
,1,1,Transition,Transition,,Open 3,3,15:35,UNH,2
,0,0,Set,Halfcourt,Yes,Foul,1,15:00,UNH,2
,1,0,Transition,Transition,,Foul,2,14:41,UNH,2
,0,1,Set,Halfcourt,Yes,Semi-contested 3,0,14:20,UNH,2
,0,0,Set,Halfcourt,Yes,Semi-contested layup,0,13:40,UNH,2
,1,0,OB,OB,,Semi-contested layup,0,13:03,UNH,2
,1,0,Putback,Putback,,Semi-contested layup,0,13:03,UNH,2
,0,1,OB,OB,Yes,Semi-contested 3,3,12:24,UNH,2
,0,0,Set,Halfcourt,NO,Turnover,0,12:01,UNH,2

,1,0,Set,Halfcourt,No,Contested layup,0,19:00,UMBC,1
,0,0,Base,Halfcourt,,Semi-contested 3,0,18:55,UMBC,1
,0,0,Set,Halfcourt,No,Step back 3,0,18:23,UMBC,1
,0,0,Base,Halfcourt,,Contested 3,3,17:33,UMBC,1
,0,0,Transition,Transition,Yes,Semi-contested 3,3,17:03,UMBC,1
,1,2,Set,Halfcourt,Yes,Open lay up,2,16:09,UMBC,1
*,1,0,Set,Halfcourt,Yes,Semi-contested 3,3,15:24,UMBC,1
,0,0,Base,Halfcourt,,Semi-contested 2,0,14:47,UMBC,1
,0,1,Set,Halfcourt,Yes,Semi-contested 3,3,13:59,UMBC,1
,0,1,Set,Halfcourt,No,Open 3,3,13:05,UMBC,1
,1,0,Base,Halfcourt,,Semi-contested layup,0,12:25,UMBC,1
,1,0,Set,Halfcourt,No,Contested layup,0,11:56,UMBC,1
,0,0,Set,Halfcourt,No,Step back 3,3,11:25,UMBC,1
,1,1,Base,Halfcourt,Yes,Foul,2,11:00,UMBC,1
*,1,1,Base,Halfcourt,Yes,Semi-contested layup,2,10:08,UMBC,1
,0,0,Transition,Transition,No,Turnover,0,9:32,UMBC,1
,1,0,Set,Halfcourt,Yes,Contested hook,0,9:00,UMBC,1
,1,0,Set,Halfcourt,Yes,Contested 2,0,7:54,UMBC,1
,1,0,Transition,Transition,Yes,Foul,1,7:19,UMBC,1
,1,1,Zone,Halfcourt/zone,Yes,Open 3,0,,UMBC,1
,1,0,Base,Halfcourt,Yes,Semi-contested 3,0,6:26,UMBC,1
,0,1,Zone,Halfcourt,Yes,Open 3,0,6:20,UMBC,1
,1,0,Transition,Transition,No,Contested layup,0,5:56,UMBC,1
,1,1,Set,Halfcourt,No,Semi-contested 2,2,5:00,UMBC,1
,1,0,Base,Halfcourt,,Semi-contested layup,2,4:30,UMBC,1
,1,0,Base,Halfcourt,,Contested 2,2,3:47,UMBC,1
,1,1,Set,Halfcourt,Yes,Open 3,0,2:57,UMBC,1
,2,1,Base,Halfcourt,Yes,Semi-contested layup,0,2:21,UMBC,1
,1,0,Base,Halfcourt,Yes,Semi-contested layup,0,1:47,UMBC,1
,2,1,Transition,Transition,Yes,Semi-contested layup,2,1:15,UMBC,1
*,1,0,Set,Halfcourt,Yes,Contested layup,0,:25,UMBC,1

,1,0,Set,Halfcourt,Yes,Semi-contested layup,2,19:43,UMBC,2
,1,0,Set,Halfcourt,Yes,Foul,2,18:57,UMBC,2
,1,0,Base,Halfcourt,No,Turnover,0,18:15,UMBC,2
